"@timestamp",message
"Feb 22, 2023 @ 09:28:23.205","conveyorBoxMap controller called. req=Req(meta=null, data=[IntfLespRecvVO(equipment_id=DC18, eqp_id=null, telegram=10, datalength=76, tote_id1=null, tote_id2=null, tote_id3=null, tote_id4=null, tote_id5=null, box_id=null, pid=19340, stop_zone_id=null, scanner_id=null, bcr_data=, dps_id=null, cell_id=null, count=null, weight=0.0, item_weight=0, item_width=0, item_length=0, item_height=0, chute1_busy=0, chute2_busy=0, destination=null, reancode=null, center_cd=CJLWNDDT10, all_message=D,DC18,10,76,19340,,0,0,0,0,0,0, sp=z_sp_lesp_cnv_box_mapping, out_message=null, out_rtn_cd=null, out_rtn_msg=null)])"
"Feb 22, 2023 @ 09:28:19.655","conveyorBoxMap call. auto labeller command : L,DC18,19339,2,550,350,I1919339;( S4 );       냉장+냉동;1;2;운송장 563310449752;1/1;2-DQ04;,"
"Feb 22, 2023 @ 09:28:19.623","conveyorBoxMap controller called. req=Req(meta=null, data=[IntfLespRecvVO(equipment_id=DC18, eqp_id=null, telegram=10, datalength=76, tote_id1=null, tote_id2=null, tote_id3=null, tote_id4=null, tote_id5=null, box_id=null, pid=19339, stop_zone_id=null, scanner_id=null, bcr_data=, dps_id=null, cell_id=null, count=null, weight=0.0, item_weight=0, item_width=0, item_length=0, item_height=0, chute1_busy=0, chute2_busy=0, destination=null, reancode=null, center_cd=CJLWNDDT10, all_message=D,DC18,10,76,19339,,0,0,0,0,0,0, sp=z_sp_lesp_cnv_box_mapping, out_message=null, out_rtn_cd=null, out_rtn_msg=null)])"
"Feb 22, 2023 @ 09:28:17.666","conveyorBoxMap call. auto labeller command : L,DC17,15569,2,580,385,C1715569;( S4-1 );          냉동;2;3;운송장 563310432926;1/1;1-DQ03;,"
"Feb 22, 2023 @ 09:28:17.633","conveyorBoxMap controller called. req=Req(meta=null, data=[IntfLespRecvVO(equipment_id=DC17, eqp_id=null, telegram=10, datalength=76, tote_id1=null, tote_id2=null, tote_id3=null, tote_id4=null, tote_id5=null, box_id=null, pid=15569, stop_zone_id=null, scanner_id=null, bcr_data=, dps_id=null, cell_id=null, count=null, weight=0.0, item_weight=0, item_width=0, item_length=0, item_height=0, chute1_busy=0, chute2_busy=0, destination=null, reancode=null, center_cd=CJLWNDDT10, all_message=D,DC17,10,76,15569,,0,0,0,0,0,0, sp=sp_lesp_cnv_box_mapping, out_message=null, out_rtn_cd=null, out_rtn_msg=null)])"
"Feb 22, 2023 @ 09:28:16.063","conveyorBoxMap call. auto labeller command : L,DC18,19338,2,550,350,I1619338;( S4 );       냉장+냉동;1;2;운송장 563310444841;1/1;2-DQ04;,"
"Feb 22, 2023 @ 09:28:16.034","conveyorBoxMap controller called. req=Req(meta=null, data=[IntfLespRecvVO(equipment_id=DC18, eqp_id=null, telegram=10, datalength=76, tote_id1=null, tote_id2=null, tote_id3=null, tote_id4=null, tote_id5=null, box_id=null, pid=19338, stop_zone_id=null, scanner_id=null, bcr_data=, dps_id=null, cell_id=null, count=null, weight=0.0, item_weight=0, item_width=0, item_length=0, item_height=0, chute1_busy=0, chute2_busy=0, destination=null, reancode=null, center_cd=CJLWNDDT10, all_message=D,DC18,10,76,19338,,0,0,0,0,0,0, sp=z_sp_lesp_cnv_box_mapping, out_message=null, out_rtn_cd=null, out_rtn_msg=null)])"
"Feb 22, 2023 @ 09:28:14.318","conveyorBoxMap call. auto labeller command : L,DC17,15568,2,580,385,C1415568;( S4-1 );          냉동;2;3;운송장 563310432296;1/1;1-DQ03;,"
"Feb 22, 2023 @ 09:28:14.285","conveyorBoxMap controller called. req=Req(meta=null, data=[IntfLespRecvVO(equipment_id=DC17, eqp_id=null, telegram=10, datalength=76, tote_id1=null, tote_id2=null, tote_id3=null, tote_id4=null, tote_id5=null, box_id=null, pid=15568, stop_zone_id=null, scanner_id=null, bcr_data=, dps_id=null, cell_id=null, count=null, weight=0.0, item_weight=0, item_width=0, item_length=0, item_height=0, chute1_busy=0, chute2_busy=0, destination=null, reancode=null, center_cd=CJLWNDDT10, all_message=D,DC17,10,76,15568,,0,0,0,0,0,0, sp=sp_lesp_cnv_box_mapping, out_message=null, out_rtn_cd=null, out_rtn_msg=null)])"
"Feb 22, 2023 @ 09:28:12.510","conveyorBoxMap call. auto labeller command : L,DC18,19337,2,550,350,I1219337;( S4 );       냉장+냉동;1;2;운송장 563310444712;1/1;2-DQ04;,"
